# Number of reads:   207,358
# Number of matches: 3,465,198
# Alignment mode:  Classifier
# Classifications: Taxonomy SEED EGGNOG GTDB EC INTERPRO2GO
# Summary:
## @Creator	RMA2Info
## @CreationDate	Wed Feb 03 13:57:14 GMT 2021
## @ContentType	Summary4
## @Names	LF_weighted
## @BlastMode	Classifier
## @Uids	1612355091607
## @Sizes	207358.0
## @TotalReads	207358
## @AdditionalReads	0
## Classifications:
##  Taxonomy (1107 classes) SEED (414 classes) EGGNOG (1882 classes) GTDB (720 classes) EC (1385 classes) INTERPRO2GO (3835 classes)
## @Algorithm	Taxonomy	merge
## @Parameters	
## 
# Class to count for 'Taxonomy':
S	588596	2.0
S	6973	13.0
S	1686310	3621.0
-	117571	32.0
S	13123	1.0
-	43845	2.0
G	838	6.0
S	260936	2.0
-	2624378	2.0
S	851	1.0
S	545617	2.0
F	7002	4.0
S	207710	2.0
P	142182	2.0
S	1485682	2.0
S	2478912	45.0
S	136037	4.0
S	473952	16.0
S	1868660	4.0
-	480117	2.0
S	66420	35.0
S	2069353	6.0
S	35703	4.0
S	2069352	3.0
S	2069351	2.0
S	2069350	95.0
S	2069349	2.0
S	2069348	20.0
S	2069347	58.0
S	2069346	54.0
S	7038	4.0
O	7041	2.0
S	373638	23.0
S	64391	1.0
S	519050	2.0
S	7054	2.0
S	74645	6.0
S	109461	702.0
G	363408	2.0
S	74649	24.0
S	357278	2.0
S	7070	79.0
P	203682	4.0
S	187304	3.0
S	2509718	1.0
-	314293	25.0
G	1778601	236.0
-	314295	2.0
S	948	28.0
C	91061	912.0
S	1891241	4.0
S	2419603	1.0
-	197563	6.0
-	197562	114.0
S	86971	219.0
S	1899430	1.0
G	5052	2.0
S	7102	9.0
S	2050976	1439.0
S	5061	1.0
O	80840	27.0
-	95178	2.0
S	103372	13.0
S	1907666	1.0
P	976	112.0
S	2653176	3.0
S	1000413	6.0
S	58331	1.0
F	80864	6.0
S	76773	4.0
S	2202564	100.0
S	76775	7.0
S	2497473	2.0
G	7145	2.0
O	7147	34.0
S	46066	2.0
S	7160	1.0
-	164860	4.0
O	84993	4.0
S	609295	10.0
C	84998	21.0
S	1403932	6.0
S	1403935	4.0
S	1403934	2.0
O	85004	2.0
O	85007	2.0
O	85006	7.0
S	132113	1586.0
S	1965070	2.0
S	1631247	1.0
S	2419772	7.0
S	9244	2.0
F	85023	4.0
S	218140	2.0
G	13346	1.0
-	7203	2.0
S	35883	5.0
F	7211	11.0
S	35885	4.0
S	7213	2.0
S	418856	2.0
G	7215	53.0
S	7216	1.0
S	1508390	2.0
-	2620435	293.0
S	1303590	67.0
S	7222	2.0
S	7226	2.0
S	7227	39.0
S	7229	9.0
S	7232	5.0
S	29760	6.0
S	158787	6.0
S	7234	6.0
-	2231393	159.0
S	1586267	25.0
S	7237	2.0
S	7238	1.0
S	7240	2.0
S	300111	2.0
S	304207	2.0
G	656454	2.0
S	7245	56.0
P	5204	3.0
S	300112	56.0
G	1111	2.0
G	246875	2.0
G	33882	4.0
S	212056	2.0
S	7260	2.0
S	283737	11.0
F	76892	6.0
G	33886	1.0
S	2511993	1.0
S	7264	14.0
S	1262706	2.0
S	664683	2.0
S	7266	2.0
S	2448454	1.0
S	2448451	24.0
S	33905	4.0
-	2231382	159.0
S	1293415	1.0
-	3193	4.0
S	449659	6.0
O	1150	2.0
S	38018	180.0
G	2733229	2312.0
S	203908	6.0
O	1161	2.0
S	56459	6.0
-	2630820	177.0
S	756892	3.0
S	1176	2.0
S	1913988	1.0
S	1825976	3.0
F	33958	365.0
S	33959	2.0
S	2747534	30.0
S	33960	8.0
S	2094261	13.0
S	42155	4.0
S	42157	4.0
G	46254	4.0
G	46255	17.0
S	33968	10.0
S	5297	11.0
-	40120	463.0
S	1871070	2.0
S	1629404	2.0
S	1871066	4.0
P	1224	1447.0
F	410830	2.0
S	7370	10.0
S	593090	4.0
S	7375	5.0
F	31953	612.0
O	91347	521.0
C	1236	2418.0
F	31957	61.0
P	1239	657.0
S	7385	2.0
G	44249	6.0
-	74971	5.0
G	1243	488.0
S	1244	7.0
S	44252	2.0
S	210143	2.0
S	1245	6.0
S	1246	10.0
S	1247	7.0
S	109790	7.0
S	1251	9.0
S	1252	7.0
G	1253	8.0
S	1254	2.0
O	7399	441.0
-	7400	1309.0
S	2026742	1.0
F	7402	2.0
S	1871086	4.0
G	1269	2.0
G	34037	4.0
F	31989	13.0
S	265458	1.0
S	36087	7.0
F	5368	8.0
S	1395944	2.0
G	1279	4.0
S	1280	9.0
S	283909	2.0
S	7425	6.0
O	32003	1.0
G	204037	4.0
S	355587	5.0
S	1895706	1.0
G	32008	2.0
S	1290	2.0
-	7434	5747.0
S	2026771	2.0
F	7438	2.0
S	91411	19.0
S	255248	1.0
S	1621259	1.0
F	1300	2.0
G	1301	47.0
S	64791	3.0
S	1305	2.0
S	64793	1.0
S	1307	4.0
S	279832	2.0
-	451864	38.0
S	1311	15.0
G	7456	14.0
S	1313	15.0
S	1314	7.0
S	2479367	1.0
F	7458	848.0
S	2008380	4.0
G	7459	6781.0
S	7460	4974.0
S	7461	781.0
S	1318	4.0
S	7462	149.0
S	267555	9.0
S	7463	168.0
S	195883	2.0
S	9515	2.0
G	156973	4.0
S	210225	2.0
S	253239	1.0
S	2026795	7.0
-	9526	150.0
-	7479	1.0
F	9527	2.0
S	472368	4.0
S	105785	36.0
-	9528	2.0
S	1619234	1.0
-	144703	4622.0
S	1883427	2.0
-	144706	2.0
S	1070421	6.0
S	9541	4.0
G	1350	21.0
C	3398	1.0
S	64838	1.0
S	1351	13.0
-	1437010	16.0
S	1352	7.0
-	7496	100.0
S	9544	5.0
S	9545	4.0
G	27977	28.0
-	70987	5476.0
S	2213226	2.0
S	148814	39.0
S	77133	9.0
G	1357	4.0
O	48461	2.0
S	1358	4.0
S	935262	2.0
S	2012495	5.0
S	329046	2.0
S	85336	2.0
S	7515	1.0
S	679249	10.0
S	142686	2.0
S	1267021	651.0
S	152925	2.0
S	1376	2.0
S	9568	1.0
-	9569	2.0
G	1378	3.0
O	1385	39.0
G	1386	6.0
S	40302	737.0
S	392566	3.0
-	83319	10.0
S	2528593	3.0
G	13687	10.0
G	9596	2.0
S	9597	1.0
S	9598	2.0
G	124287	9.0
S	9601	2.0
G	40323	14.0
S	40324	2.0
F	9604	3.0
G	1912216	7.0
S	9606	25.0
S	38284	1.0
S	2022803	2.0
S	38286	2.0
S	1262977	2.0
S	1852815	2.0
S	1428	2.0
S	3476	2.0
S	130453	2.0
S	38293	4.0
G	122277	14.0
S	2719119	1.0
S	181675	1.0
O	3502	1.0
S	1510841	1.0
-	1955251	5.0
F	3503	2.0
F	1240483	1066.0
S	363952	2.0
S	712124	6.0
S	1869227	2.0
G	3511	4.0
F	1643950	2.0
S	1336744	2.0
S	1162706	1.0
G	28100	6.0
-	2233838	3.0
G	1485	4.0
-	2233839	26.0
G	32207	10.0
S	54736	2.0
S	52689	2.0
S	1701325	3.0
S	28118	2.0
-	1344963	2.0
S	1496	10.0
S	597456	91.0
S	189913	7.0
-	2233855	28.0
F	134621	2.0
S	1505	3.0
C	214506	2.0
S	607712	2.0
S	1394175	144.0
S	3562	2.0
S	36330	4.0
-	1437183	187.0
F	255475	3.0
S	1545702	265.0
S	1545701	158.0
S	30195	89.0
-	1783272	564.0
G	3573	2.0
S	2579935	2.0
S	1531	2.0
S	1908198	2.0
S	103933	1438.0
S	1535	4.0
S	34305	35.0
-	1437201	380.0
S	2170413	304.0
O	206351	68.0
G	1193503	12423.0
S	192012	338.0
S	1437190	8.0
S	2575923	1.0
S	1293831	8.0
S	1394176	138.0
F	5654	1.0
S	613905	2.0
S	669202	2.0
-	32281	7.0
-	185880	58.0
S	1230389	2.0
S	58919	2.0
F	206379	2.0
S	220714	16.0
G	1578	35440.0
S	1579	2.0
S	1580	4.0
F	3629	2.0
S	1101373	2.0
S	1584	15.0
S	3634	4.0
S	1587	10.0
C	28211	415.0
